laboratorio,grupo,problema,cluster_problema_manual,clean_problema,cluster_causa_manual,causa,clean_causa,consecuencia,clean_consecuencia,region
lab rpp 1,fondecyt regular,insuficiente numero tesistas postgrado macrozona-austral,capital-humano,insuficiente capital-humano estudiantes-postgrado macrozona-austral,capital-humano,ausencia financiamiento fomentar desarrollar programas postgrado regionales,insuficiente financiamiento fomentar desarrollar programas-postgrado macrozona-austral,equipos investigacion pequeñ inexistente lineas investigacion crecer,equipos-investigación pequeñ inexistente no-crecen lineas-investigación no-crecen,1
lab rpp 1,fondecyt regular,insuficiente numero tesistas postgrado macrozona-austral,capital-humano,insuficiente capital-humano estudiantes-postgrado macrozona-austral,capital-humano,ausencia financiamiento apoyar formación capital humano instalado regiones,insuficiente financiamiento fomentar desarrollar programas-postgrado macrozona-austral,equipos investigacion pequeñ inexistente lineas investigacion crecer,equipos-investigación pequeñ inexistente no-crecen lineas-investigación no-crecen,1
lab rpp 1,fondecyt regular,insuficiente numero tesistas postgrado macrozona-austral,capital-humano,insuficiente capital-humano estudiantes-postgrado macrozona-austral,capital-humano, claustro/cuerpo academico regiones requisitos actuales,insuficiente investigadores macrozona-austral docencia programas-postgrado,equipos investigacion pequeñ inexistente lineas investigacion crecer,equipos-investigación pequeñ inexistente no-crecen lineas-investigación no-crecen,1
lab rpp 1,fondecyt regular,insuficiente numero tesistas postgrado macrozona-austral,capital-humano,insuficiente capital-humano estudiantes-postgrado macrozona-austral,capital-humano,sistema incentivos individualización cooperación (cna anid),sistema incentivos anid cna individualización cooperación,equipos investigacion pequeñ inexistente lineas investigacion crecer,equipos-investigación pequeñ inexistente no-crecen lineas-investigación no-crecen,1
lab rif 1,fondecyt iniciación, estudiantes postgrado regiones,capital-humano,insuficiente capital-humano estudiantes-postgrado macrozona-austral,capital-humano, claustro/cuerpo académico regiones programas magister doctorado,insuficiente investigadores macrozona-austral docencia programas-postgrado,equipos investigacion pequeñ inexistente crecer,equipos-investigación pequeñ inexistente no-crecen,1
lab rpp 1,fondecyt regular, tesistas pregrado sistema ctci mz austral,capital-humano,insuficiente capital-humano estudiantes-pregrado macrozona-austral,desconexión pregrado-investigaciónregional,desconexion lineas investigación regionales docencia pregrado aysén magallanes,desconexion investigación-regional docencia-pregrado macrozona-austral,equipos investigacion pequeñ inexistente crecer,equipos-investigación pequeñ inexistente no-crecen,1
lab rpp 1,fondecyt regular, tesistas pregrado sistema ctci mz austral,capital-humano,insuficiente capital-humano estudiantes-pregrado macrozona-austral,capital-humano, universidad estatal ambas regiones alumnos,insuficiente universidades macrozona-austral estudiantes-pregrado,equipos investigacion pequeñ inexistente crecer,equipos-investigación pequeñ inexistente no-crecen,1
lab rif 1,fondecyt iniciación,208 mil pesos insuficienten traer tesistas pregrado regiones,financiamiento capital-humano,insuficiente financiamiento capital-humano estudiantes-postgrado macrozona-austral,costo-operacional, costos vida mayores ambas regiones, costos vida mayores macrozona-austral,equipos investigacion pequeñ inexistente crecer,equipos-investigación pequeñ inexistente no-crecen,1
lab rpp 1,fondecyt postdoc,falta recursos (honorarios) tesistas,financiamiento capital-humano,inflexible insuficiente financiamiento capital-humano estudiantes-pregrado estudiantes-postgrado macrozona-austral,capital-humano,baja cantidad estudiantes sistema ctci,insuficiente estudiantes-pregrado estudiantes-postgrado macrozona-austral,equipos investigacion pequeñ inexistente crecer,equipos-investigación pequeñ inexistente no-crecen,1
lab rif 1,fondecyt iniciación,inmovilidad presupuesto item tesistas,financiamiento capital-humano,inflexible insuficiente financiamiento capital-humano estudiantes-pregrado estudiantes-postgrado macrozona-austral,bases-instrumento,bases anid brecha regional,bases-instrumento anid no-reconoce brechas macrozona-austral,equipos investigacion pequeñ inexistente crecer,equipos-investigación pequeñ inexistente no-crecen,1
lab rif 1,fondecyt iniciación, estudiantes postgrado regiones,capital-humano,insuficiente capital-humano estudiantes-postgrado macrozona-austral,capital-humano, claustro/cuerpo académico regiones programas magister doctorado,insuficiente investigadores macrozona-austral docencia programas-postgrado,fondos destinados tesistas devolver anid,fondos destinados tesistas devolver anid,1
lab rif 1,fondecyt iniciación, destinar recursos tesistas internacionales,financiamiento colaboracion-internacional,insuficiente financiamiento colaboracion-internacional tesistas-internacionales,gestion-administrativa anid,anid necesita rut chileno,anid necesita rut chileno,equipos investigacion pequeñ inexistente crecer,equipos-investigación pequeñ inexistente no-crecen,1
lab rpp 1,fondecyt regular, tesistas pregrado sistema ctci mz austral,capital-humano,insuficiente capital-humano estudiantes-pregrado macrozona-austral,desconexión pregrado-investigaciónregional,desconexion lineas investigación regionales docencia pregrado aysén magallanes,desconexion investigación-regional docencia-pregrado macrozona-austral,fondos destinados tesistas devolver anid,fondos destinados tesistas devolver anid,1
lab rpp 1,fondecyt postdoc,falta recursos (honorarios) apoyo profesional,financiamiento capital-humano,insuficiente financiamiento operación macrozona-austral gastos capital-humano asistentes-de-investigación,capital-humano,baja cantidad profesionales sistema ctci,baja cantidad profesionales-investigación sistema ctci,equipos investigacion pequeñ inexistente crecer,equipos-investigación pequeñ inexistente no-crecen,1
lab rif 1,fondecyt iniciación,208 mil pesos insuficienten traer tesistas pregrado regiones,financiamiento capital-humano,insuficiente financiamiento capital-humano estudiantes-postgrado macrozona-austral,capital-humano, cantidad estudiantes baja mz austral (1 universidad estatal pregrado región),insuficiente estudiantes-pregrado macrozona-austral,equipos investigacion pequeñ crecer,equipos-investigación pequeñ inexistente no-crecen,1
lab fri 1,fondequip mediano, universidades pequeñas (mz austral) limitar número postulaciones,bases-instrumento realidad-territorial, bases-instrumento instrumento-anid realidad-territorial macrozona-austral limita cantidad postulaciones,financiamiento-universidades, exigencia co-financiamiento, exigencia co-financiamiento,aumenta brecha equipamiento cientifico macrozona-austral,aumenta brecha equipamiento-científico macrozona-austral,1
lab fri 1,fondequip mediano, universidades pequeñas (mz austral) limitar número postulaciones,bases-instrumento realidad-territorial, bases-instrumento instrumento-anid realidad-territorial macrozona-austral limita cantidad postulaciones,descoordinación anid-universidades,tasa cambio (clp-usd) fija establecida anid caso cambiar tasa universidad cargo diferencia tasa cambio,tasa-de-cambio fija establecida anid caso cambiar tasa universidades cargo diferencia,aumenta brecha equipamiento cientifico macrozona-austral,aumenta brecha equipamiento-científico macrozona-austral,1
lab rif 1,fondecyt iniciación,inmovilidad presupuesto item tesistas,financiamiento capital-humano,inflexible insuficiente financiamiento capital-humano estudiantes-pregrado estudiantes-postgrado macrozona-austral,bases-instrumento,bases anid brecha regional,bases-instrumento anid no-reconoce brechas macrozona-austral,investigador@ principal cumple funciones equipo ampliar linea investigación,investigador-principal cumple funciones equipos-investigación linea-investigación no-crecen,1
lab fri 1,fondequip mediano,gestión rigida compleja administrativa (comite tecnico) aplica naturaleza proyectos (zonas extremas vs laboratorio),gestion-administrativa realidad-territorial, gestión-administrativa anid diferencia equipamiento-científico terrenos laboratorios,gestion-administrativa realidad-territorial, administración programa muestra tendencia burocratización/rigidización/falta transparencia/arbitrariedad, administración programa muestra tendencia burocratización rigidización falta-de-transparencia arbitrariedad,conflictos anid investigaodores produce gasto recursos,conflictos anid investigadores generan gasto recursos,1
lab rpp 1,fondecyt postdoc,cambio / actualización bases,contenido bases-instrumento, bases-instrumento instrumento-anid confusas actualizaciones perjudiciales,bases-instrumento,actualizaciones anid posterior adjudicación proyecto,actualizaciones anid posterior adjudicación proyecto,retraso descoordinación proyectos,desfase descoordinación proyectos,0
lab rif 1,fondef idea,cambios par evaluador,evaluacion-anid, evaluación-administrativa anid propuesta deficiente,evaluacion-anid, pierde mirada proyecto postula cambiando rumbo mejoramiento proyecto original,cambios par-evaluador,afecta postulaciones siguientes,desvirtú proyecto postulado cambiando rumbo mejoramiento proyecto original,0
lab fri 1,fondecyt iniciación,cambios programa inicial proyectos,gestion-administrativa anid, gestión-administrativa anid deficiente,gestion-administrativa anid,inyección desfasada recursos,inyección desfasada financiamiento, pierden 30 días ejecución ,desfase descoordinación proyectos,0
lab rpp 1,fondecyt regular,insuficiente numero tesistas postgrado macrozona-austral,capital-humano,insuficiente capital-humano estudiantes-postgrado macrozona-austral,capital-humano,ausencia financiamiento fomentar desarrollar programas postgrado regionales,insuficiente financiamiento fomentar desarrollar programas-postgrado macrozona-austral,investigador@ principal cumple funciones equipo ampliar linea investigación,investigador-principal cumple funciones equipos-investigación linea-investigación no-crecen,1
lab fri 1,fondecyt regular,demora respuesta solicitudes cambio modificaciones gestión proyecto,comunicacion-anid, comunicación ejecutivos anid lenta,comunicacion-anid, comunicación directa ejecutivos só realizan consultas plataforma, no- comunicación directa ejecutivo-anid só realizan consultas plataforma,proyectos detenidos esperando respuestas continuidad,detención proyectos esperando respuestas continuidad,1
lab rpp 1,fondecyt postdoc,demora respuesta solicitudes cambio modificaciones gestión proyecto,comunicacion-anid, comunicación ejecutivos anid lenta,comunicacion-anid, comunicación directa ejecutivos só realizan consultas plataforma, no- comunicación directa ejecutivo-anid só realizan consultas plataforma,proyectos detenidos esperando respuestas continuidad,detención proyectos esperando respuestas continuidad,1
lab rpp 1,fondecyt postdoc,demora respuesta solicitudes cambio modificaciones gestión proyecto,comunicacion-anid, comunicación ejecutivos anid lenta,comunicacion-anid,cambio / ejecutivo/ resolver dudas,cambio ejecutivo anid resolver dudas,proyectos detenidos esperando respuestas continuidad,detención proyectos esperando respuestas continuidad,1
lab fri 1,fondecyt regular,demora respuesta solicitudes cambio modificaciones gestión proyecto,comunicacion-anid, comunicación ejecutivos anid lenta,gestion-administrativa anid,funcionamiento anid centralizado,funcionamiento anid centralizado,proyectos detenidos esperando respuestas continuidad,detención proyectos esperando respuestas continuidad,1
lab rif 1,fondecyt iniciación,desconexion instrumentos (fondecyt & fondequip mediano),complementariedad-instrumentos,instrumento-anid complementar instrumento-anid,gestion-administrativa realidad-territorial, pensados suplir realidad regional, pensados suplir realidad macrozona-austral, acceso equipamiento cientifico envio muestras lugares, acceso equipamiento-científico envio muestras lugares,1
lab rpp 1,fondecyt regular,insuficiente numero tesistas postgrado macrozona-austral,capital-humano,insuficiente capital-humano estudiantes-postgrado macrozona-austral,capital-humano,ausencia financiamiento apoyar formación capital humano instalado regiones,insuficiente financiamiento apoyar formación capital-humano instalado macrozona-austral,investigador@ principal cumple funciones equipo ampliar linea investigación,investigador-principal cumple funciones equipos-investigación linea-investigación no-crecen,1
lab rpp 1,fondecyt regular,insuficiente numero tesistas postgrado macrozona-austral,capital-humano,insuficiente capital-humano estudiantes-postgrado macrozona-austral,capital-humano, claustro/cuerpo academico regiones requisitos actuales,insuficiente investigadores macrozona-austral docencia programas-postgrado,investigador@ principal cumple funciones equipo ampliar linea investigación,investigador-principal cumple funciones equipos-investigación linea-investigación no-crecen,1
lab rpp 1,fondecyt regular, tesistas pregrado sistema ctci mz austral,capital-humano,insuficiente capital-humano estudiantes-pregrado macrozona-austral,capital-humano, universidad estatal ambas regiones alumnos,insuficiente universidades macrozona-austral estudiantes-pregrado,fondos destinados tesistas devolver anid,devolución fondos destinados estudiantes-pregrado,1
lab rpp 1,fondecyt regular,insuficiente numero tesistas postgrado macrozona-austral,capital-humano,insuficiente capital-humano estudiantes-postgrado macrozona-austral,capital-humano,sistema incentivos individualización cooperación (cna anid),sistema incentivos anid cna individualización cooperación,investigador@ principal cumple funciones equipo ampliar linea investigación,investigador-principal cumple funciones equipos-investigación linea-investigación no-crecen,1
lab fri 1,fondecyt regular,exceso observaciones baja trascendencia rendiciones demora respuesta observaciones,gestion-administrativa anid, evaluación-administrativa anid burocrática,gestion-administrativa anid, personal destinado rendiciones,insuficiente personal anid destinado rendiciones,retraso solución temas,retraso solución temas-administrativos,0
lab fri 1,fondecyt regular,exceso observaciones baja trascendencia rendiciones demora respuesta observaciones,gestion-administrativa anid, evaluación-administrativa anid burocrática,gestion-administrativa anid, personal auditorias financieras, personal anid auditorias financieras,retraso solución temas,retraso solución temas-administrativos,0
lab fri 1,fondecyt regular,exceso observaciones baja trascendencia rendiciones demora respuesta observaciones,gestion-administrativa anid, evaluación-administrativa anid burocrática,gestion-administrativa anid,desconexión área científica financiera anid,desconexión área científica financiera anid,retraso solución temas,retraso solución temas-administrativos,0
lab fri 1,fondecyt regular,exceso observaciones baja trascendencia rendiciones demora respuesta observaciones,gestion-administrativa anid, evaluación-administrativa anid burocrática,gestion-administrativa anid,desconocimiento anid actividades necesarias ejecución proyecto,desconocimiento anid actividades necesarias ejecución proyecto,retraso solución temas,retraso solución temas-administrativos,0
lab rpp 1,fondecyt regular, falta competencias evaluar decidir acerca ajustes presupuestarios,gestion-administrativa realidad-territorial, evaluacion-proyectos anid realidad-territorial macrozona-austral,costo-operacional,desconocimiento costos vida realidad regional,desconocimiento costos vida realidad macrozona-austral,ajuste presupuestario cuarta quehacer proyecto gasto solucion problemas precarizacion,ajuste presupuestario cuarta quehacer proyecto gastos solucion problemas precarizacion,0
lab fri 1,fondequip mediano, universidades pequeñas (mz austral) limitar número postulaciones,bases-instrumento realidad-territorial, bases-instrumento instrumento-anid realidad-territorial macrozona-austral limita cantidad postulaciones,financiamiento-universidades, exigencia co-financiamiento, exigencia co-financiamiento,aumenta brecha equipamiento cientifico macrozona-austral,aumenta brecha equipamiento-científico macrozona-austral,1
lab fri 1,fondequip mediano, universidades pequeñas (mz austral) limitar número postulaciones,bases-instrumento realidad-territorial, bases-instrumento instrumento-anid realidad-territorial macrozona-austral limita cantidad postulaciones,capital-humano,solicitan indicador personas usen equipamiento institución,solicitan indicador personas usen equipamiento-científico institución,aumenta brecha equipamiento cientifico macrozona-austral,aumenta brecha equipamiento-científico macrozona-austral,1
lab fri 1,fondequip mediano, universidades pequeñas (mz austral) limitar número postulaciones,bases-instrumento realidad-territorial, bases-instrumento instrumento-anid realidad-territorial macrozona-austral limita cantidad postulaciones,capital-humano,solicitan indicador personas usen equipamiento institución,solicitan indicador personas usen equipamiento-científico institución,aumenta brecha equipamiento cientifico macrozona-austral,aumenta brecha equipamiento-científico macrozona-austral,1
lab fri 1,fondequip mediano,gestión rigida compleja administrativa (comite tecnico) aplica naturaleza proyectos (zonas extremas vs laboratorio),gestion-administrativa realidad-territorial, gestión-administrativa anid diferencia equipamiento-científico terrenos laboratorios,gestion-administrativa realidad-territorial, programa diferencias instalacion equipamiento laboratorios terreno zonas alto riesgo zonas extremas aislamiento-austral,instrumento sin-diferenciación instalacion equipamiento-científico laboratorios terreno zonas-alto-riesgo zonas-extremas aislamiento-austral,conflictos anid investigaodores produce gasto recursos,conflictos anid investigadores generan gasto recursos,1
lab fri 1,fondecyt regular,falta notificación cambios relevantes normativas declaración gastos,comunicacion-anid, comunicación anid deficiente investigadores-principales,gestion-administrativa anid,actualizaciones instrucciones declaración gastos anid posterior adjudicación proyecto,actualizaciones instrucciones declaración gastos anid posterior adjudicación proyecto,desconocimiento temporal reasignación recursos pecuniarios,desconocimiento temporal reasignación recursos pecuniarios,0
lab fri 1,fondecyt regular,falta notificación cambios relevantes normativas declaración gastos,comunicacion-anid, comunicación anid deficiente investigadores-principales,gestion-administrativa anid,actualizaciones instrucciones declaración gastos anid posterior adjudicación proyecto,actualizaciones instrucciones declaración gastos anid posterior adjudicación proyecto,retraso descoordinación proyectos,retraso descoordinación proyectos,0
lab fri 1,fondecyt regular,falta notificación cambios relevantes normativas declaración gastos,comunicacion-anid, comunicación anid deficiente investigadores-principales,gestion-administrativa anid,actualizaciones instrucciones declaración gastos anid posterior adjudicación proyecto,actualizaciones instrucciones declaración gastos anid posterior adjudicación proyecto,problemas rendiciones,problemas rendiciones,0
lab rpp 1,fondecyt postdoc,falta base datos información títulos objetivos proyectos adjudicados,comunicacion-anid, comunicación anid deficiente facilitar información proyectos realizados,bases-instrumento, propuesta original relación proyectos adjudicados, propuesta original relación proyectos adjudicados,desconocimiento potenciales proyectos rechazados,desconocimiento potenciales proyectos rechazados,0
lab fri 1,fondecyt regular,reintegro fondos falta estudiantes proyectos,capital-humano,insuficiente capital-humano estudiantes-pregrado estudiantes-postgrado macrozona-austral financiamiento devuelto,capital-humano, permite contratar estudiantes chilenos n vinculados universidades nacionales, permite contratar estudiantes-pregrado estudiantes-postgrado chilenos n vinculados universidades chilenas, estudiantes disponibles pre postgrado, estudiantes-pregrado estudiantes-postgrado,1
lab rpp 1,pai sia, definición académico está estandarizada,contenido bases-instrumento, bases-instrumento instrumento-anid confusas definición académico,descoordinación anid-universidades, aparecer bases universidad define , aparecer bases-instrumento universidades definen , desconoce puesto académico sueldo definitivo, desconoce puesto académico sueldo definitivo,0
lab rpp 1,fondecyt postdoc,falta ejemplos operar documentos adjuntar,contenido bases-instrumento, bases-instrumento instrumento-anid confusas ejemplos,gestion-administrativa anid, recurrentes dudas completar datos trámites (ej: facutras firma convenio formato docuemntos digitales), recurrentes dudas completar datos trámites facturas firma-convenio documentos-digitales,retraso ejecución proyectos,retraso ejecución proyectos,0
lab rpp 1,fondecyt regular,falta flexibilidad calendario planificación proyectos,flexibilidad bases-instrumento,bases-instrumento instrumento-anid inflexible proyectos macrozona-austral,gestion-administrativa anid, flexibilidad anid rendición económica,anid inflexible rendición económica,atraso rendicion proyectos,atraso rendicion proyectos,1
lab fri 1,fondecyt regular,reintegro fondos falta estudiantes proyectos,capital-humano,insuficiente capital-humano estudiantes-pregrado estudiantes-postgrado macrozona-austral financiamiento devuelto,capital-humano,macrozona 1 programa doctorado,insuficiente programas-postgrado programa doctorado macrozona-austral, estudiantes disponibles pre postgrado, estudiantes-pregrado estudiantes-postgrado,1
lab fri 1,fondecyt regular,reintegro fondos falta estudiantes proyectos,capital-humano,insuficiente capital-humano estudiantes-pregrado estudiantes-postgrado macrozona-austral financiamiento devuelto,capital-humano,equipos investigacion pequeñ inexistente crecer,equipos-investigacion pequeñ inexistente crecer, estudiantes disponibles pre postgrado, estudiantes-pregrado estudiantes-postgrado,1
lab rif 1,fondecyt iniciación,inmovilidad presupuesto item tesistas,financiamiento capital-humano,inflexible insuficiente financiamiento capital-humano estudiantes-pregrado estudiantes-postgrado macrozona-austral,bases-instrumento,bases anid brecha regional,bases-instrumento anid no-reconoce brechas macrozona-austral,fondos destinados tesistas devolver anid,fondos destinados tesistas devolver anid,1
lab rif 1,fondecyt iniciación, estudiantes postgrado regiones,capital-humano,insuficiente capital-humano estudiantes-postgrado macrozona-austral,capital-humano, claustro/cuerpo académico regiones programas magister doctorado,insuficiente investigadores macrozona-austral docencia programas-postgrado,investigador@ principal cumple funciones equipo ampliar linea investigación,investigador-principal cumple funciones equipos-investigación linea-investigación no-crecen,1
lab fri 1,fondecyt iniciación, universidades estudiantes zonas extremas,capital-humano,insuficiente capital-humano profesionales-universidades estudiantes-pregrado estudiantes-postgrado macrozona-austral,capital-humano, personas participen cooperen proyectos,insuficiente universidades macrozona-austral estudiantes-pregrado estudiantes-postgrado profesionales-investigación,proyectos especialistas temas investigación,proyectos especialistas linea-investigación,1
lab rpp 1,fondecyt regular, tesistas pregrado sistema ctci mz austral,capital-humano,insuficiente capital-humano estudiantes-pregrado macrozona-austral,desconexión pregrado-investigaciónregional,desconexion lineas investigación regionales docencia pregrado aysén magallanes,desconexion investigación-regional docencia-pregrado macrozona-austral,investigador@ principal cumple funciones equipo ampliar linea investigación,investigador-principal cumple funciones equipos-investigación linea-investigación no-crecen,1
lab rpp 1,fondecyt regular, tesistas pregrado sistema ctci mz austral,capital-humano,insuficiente capital-humano estudiantes-pregrado macrozona-austral,capital-humano,ausencia financiamiento apoyar formación capital humano instalado regiones,insuficiente financiamiento apoyar formación capital-humano instalado macrozona-austral,investigador@ principal cumple funciones equipo ampliar linea investigación,investigador-principal cumple funciones equipos-investigación linea-investigación no-crecen,1
lab rpp 1,fondecyt regular, tesistas pregrado sistema ctci mz austral,capital-humano,insuficiente capital-humano estudiantes-pregrado macrozona-austral,capital-humano, claustro/cuerpo académico regiones requisitos actuales, claustro/cuerpo académico macrozona-austral requisitos actuales,investigador@ principal cumple funciones equipo ampliar linea investigación,investigador-principal cumple funciones equipos-investigación linea-investigación no-crecen,1
lab rpp 1,fondecyt regular, tesistas pregrado sistema ctci mz austral,capital-humano,insuficiente capital-humano estudiantes-pregrado macrozona-austral,gestion-administrativa anid,sistema incentivos individualización cooperación (cna anid),sistema incentivos anid cna individualización cooperación,investigador@ principal cumple funciones equipo ampliar linea investigación,investigador-principal cumple funciones equipos-investigación linea-investigación no-crecen,1
